,Setores e subsetores,Trimestre,Valor,Ano
96,Agropecuária - total,1,119691,2020
97,Agropecuária - total,2,125417,2020
194,Indústria - total,1,305450,2020
195,Indústria - total,2,287544,2020
292,Indústrias extrativas,1,46570,2020
293,Indústrias extrativas,2,39277,2020
390,Indústrias de transformação,1,155338,2020
391,Indústrias de transformação,2,151527,2020
488,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1,50276,2020
489,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",2,46700,2020
586,Construção,1,53266,2020
587,Construção,2,50040,2020
684,Serviços - total,1,1113292,2020
685,Serviços - total,2,1064582,2020
782,Comércio,1,207623,2020
783,Comércio,2,189469,2020
880,"Transporte, armazenagem e correio",1,63304,2020
881,"Transporte, armazenagem e correio",2,57629,2020
978,Informação e comunicação,1,50485,2020
979,Informação e comunicação,2,51732,2020
1076,"Atividades financeiras, de seguros e serviços relacionados",1,105763,2020
1077,"Atividades financeiras, de seguros e serviços relacionados",2,96072,2020
1174,Atividades imobiliárias,1,159141,2020
1175,Atividades imobiliárias,2,161449,2020
1272,Outras atividades de serviços,1,257692,2020
1273,Outras atividades de serviços,2,224529,2020
1370,"Administração, saúde e educação públicas e seguridade social",1,269284,2020
1371,"Administração, saúde e educação públicas e seguridade social",2,283701,2020
1468,Valor adicionado a preços básicos,1,1538433,2020
1469,Valor adicionado a preços básicos,2,1477543,2020
1566,Impostos líquidos sobre produtos,1,264988,2020
1567,Impostos líquidos sobre produtos,2,175408,2020
1664,PIB a preços de mercado,1,1803421,2020
1665,PIB a preços de mercado,2,1652951,2020
1762,Despesa de consumo das famílias,1,1162204,2020
1763,Despesa de consumo das famílias,2,1002720,2020
1860,Despesa de consumo da administração pública,1,343521,2020
1861,Despesa de consumo da administração pública,2,370173,2020
1958,Formação bruta de capital fixo,1,285059,2020
1959,Formação bruta de capital fixo,2,247452,2020
2056,Variação de estoque,1,27685,2020
2057,Variação de estoque,2,-27432,2020
2154,Exportação de bens e serviços,1,265798,2020
2155,Exportação de bens e serviços,2,324329,2020
2252,Importação de bens e serviços (-),1,280847,2020
2253,Importação de bens e serviços (-),2,264291,2020
