Setores e subsetores,Trimestre,Valor,Ano
Agropecuária - total,1,10054.0,1996
Agropecuária - total,2,10703.0,1996
Agropecuária - total,3,11096.0,1996
Agropecuária - total,4,8906.0,1996
Agropecuária - total,1,12338.0,1997
Agropecuária - total,2,11625.0,1997
Agropecuária - total,3,10871.0,1997
Agropecuária - total,4,9771.0,1997
Agropecuária - total,1,11869.0,1998
Agropecuária - total,2,14202.0,1998
Agropecuária - total,3,13143.0,1998
Agropecuária - total,4,8399.0,1998
Agropecuária - total,1,14190.0,1999
Agropecuária - total,2,13487.0,1999
Agropecuária - total,3,11736.0,1999
Agropecuária - total,4,11121.0,1999
Agropecuária - total,1,16347.0,2000
Agropecuária - total,2,15218.0,2000
Agropecuária - total,3,15178.0,2000
Agropecuária - total,4,10220.0,2000
Agropecuária - total,1,17485.0,2001
Agropecuária - total,2,17314.0,2001
Agropecuária - total,3,14694.0,2001
Agropecuária - total,4,13676.0,2001
Agropecuária - total,1,22074.0,2002
Agropecuária - total,2,21534.0,2002
Agropecuária - total,3,21463.0,2002
Agropecuária - total,4,16444.0,2002
Agropecuária - total,1,30850.0,2003
Agropecuária - total,2,29205.0,2003
Agropecuária - total,3,25418.0,2003
Agropecuária - total,4,20477.0,2003
Agropecuária - total,1,34343.0,2004
Agropecuária - total,2,34585.0,2004
Agropecuária - total,3,25124.0,2004
Agropecuária - total,4,16860.0,2004
Agropecuária - total,1,27589.0,2005
Agropecuária - total,2,27174.0,2005
Agropecuária - total,3,26472.0,2005
Agropecuária - total,4,19723.0,2005
Agropecuária - total,1,28065.0,2006
Agropecuária - total,2,26201.0,2006
Agropecuária - total,3,28662.0,2006
Agropecuária - total,4,22366.0,2006
Agropecuária - total,1,34346.0,2007
Agropecuária - total,2,32718.0,2007
Agropecuária - total,3,29821.0,2007
Agropecuária - total,4,23267.0,2007
Agropecuária - total,1,42413.0,2008
Agropecuária - total,2,43289.0,2008
Agropecuária - total,3,34035.0,2008
Agropecuária - total,4,22315.0,2008
Agropecuária - total,1,41178.0,2009
Agropecuária - total,2,40931.0,2009
Agropecuária - total,3,37986.0,2009
Agropecuária - total,4,29117.0,2009
Agropecuária - total,1,43763.0,2010
Agropecuária - total,2,40362.0,2010
Agropecuária - total,3,41884.0,2010
Agropecuária - total,4,33923.0,2010
Agropecuária - total,1,53738.0,2011
Agropecuária - total,2,53828.0,2011
Agropecuária - total,3,48551.0,2011
Agropecuária - total,4,33907.0,2011
Agropecuária - total,1,54309.0,2012
Agropecuária - total,2,55518.0,2012
Agropecuária - total,3,51699.0,2012
Agropecuária - total,4,39168.0,2012
Agropecuária - total,1,70383.0,2013
Agropecuária - total,2,65607.0,2013
Agropecuária - total,3,58678.0,2013
Agropecuária - total,4,45622.0,2013
Agropecuária - total,1,74130.0,2014
Agropecuária - total,2,72792.0,2014
Agropecuária - total,3,58877.0,2014
Agropecuária - total,4,44176.0,2014
Agropecuária - total,1,78612.0,2015
Agropecuária - total,2,72136.0,2015
Agropecuária - total,3,61121.0,2015
Agropecuária - total,4,47098.0,2015
Agropecuária - total,1,87615.0,2016
Agropecuária - total,2,88519.0,2016
Agropecuária - total,3,76339.0,2016
Agropecuária - total,4,54181.0,2016
Agropecuária - total,1,98376.0,2017
Agropecuária - total,2,84654.0,2017
Agropecuária - total,3,70215.0,2017
Agropecuária - total,4,49726.0,2017
Agropecuária - total,1,95645.0,2018
Agropecuária - total,2,93007.0,2018
Agropecuária - total,3,65452.0,2018
Agropecuária - total,4,50297.0,2018
Agropecuária - total,1,92218.0,2019
Agropecuária - total,2,90078.0,2019
Agropecuária - total,3,79682.0,2019
Agropecuária - total,4,59979.0,2019
Agropecuária - total,1,119691.0,2020
Agropecuária - total,2,125417.0,2020
Indústria - total,1,41474.0,1996
Indústria - total,2,45839.0,1996
Indústria - total,3,49011.0,1996
Indústria - total,4,54631.0,1996
Indústria - total,1,49072.0,1997
Indústria - total,2,55636.0,1997
Indústria - total,3,57089.0,1997
Indústria - total,4,53320.0,1997
Indústria - total,1,52455.0,1998
Indústria - total,2,58383.0,1998
Indústria - total,3,58112.0,1998
Indústria - total,4,52759.0,1998
Indústria - total,1,51004.0,1999
Indústria - total,2,62478.0,1999
Indústria - total,3,61145.0,1999
Indústria - total,4,61915.0,1999
Indústria - total,1,62386.0,2000
Indústria - total,2,70463.0,2000
Indústria - total,3,71089.0,2000
Indústria - total,4,71932.0,2000
Indústria - total,1,74965.0,2001
Indústria - total,2,73981.0,2001
Indústria - total,3,75782.0,2001
Indústria - total,4,73153.0,2001
Indústria - total,1,73585.0,2002
Indústria - total,2,84313.0,2002
Indústria - total,3,85894.0,2002
Indústria - total,4,91116.0,2002
Indústria - total,1,88506.0,2003
Indústria - total,2,96082.0,2003
Indústria - total,3,105419.0,2003
Indústria - total,4,106561.0,2003
Indústria - total,1,102779.0,2004
Indústria - total,2,117825.0,2004
Indústria - total,3,127076.0,2004
Indústria - total,4,128183.0,2004
Indústria - total,1,119602.0,2005
Indústria - total,2,133729.0,2005
Indústria - total,3,135196.0,2005
Indústria - total,4,136160.0,2005
Indústria - total,1,128090.0,2006
Indústria - total,2,139270.0,2006
Indústria - total,3,149671.0,2006
Indústria - total,4,150251.0,2006
Indústria - total,1,141044.0,2007
Indústria - total,2,155432.0,2007
Indústria - total,3,166712.0,2007
Indústria - total,4,165884.0,2007
Indústria - total,1,151286.0,2008
Indústria - total,2,176613.0,2008
Indústria - total,3,204856.0,2008
Indústria - total,4,185152.0,2008
Indústria - total,1,152809.0,2009
Indústria - total,2,173009.0,2009
Indústria - total,3,192928.0,2009
Indústria - total,4,210476.0,2009
Indústria - total,1,192711.0,2010
Indústria - total,2,221147.0,2010
Indústria - total,3,245530.0,2010
Indústria - total,4,244769.0,2010
Indústria - total,1,228636.0,2011
Indústria - total,2,250399.0,2011
