Ano,Trimestre,"Administração, saúde e educação públicas e seguridade social",Agropecuária - total,"Atividades financeiras, de seguros e serviços relacionados",Atividades imobiliárias,Comércio,Construção,Despesa de consumo da administração pública,Despesa de consumo das famílias,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",Exportação de bens e serviços,Formação bruta de capital fixo,Importação de bens e serviços (-),Impostos líquidos sobre produtos,Indústria - total,Indústrias de transformação,Indústrias extrativas,Informação e comunicação,Outras atividades de serviços,PIB a preços de mercado,Serviços - total,"Transporte, armazenagem e correio",Valor adicionado a preços básicos,Variação de estoque
1996,1,27088.0,10054.0,16074.0,21647.0,12755.0,11972.0,35666.0,125685.0,4432.0,12306.0,35403.0,14773.0,24960.0,41474.0,23306.0,1763.0,4017.0,27237.0,189323.0,112836.0,4018.0,164363.0,-4964.0
1996,2,28775.0,10703.0,15277.0,23734.0,14359.0,13587.0,39023.0,132511.0,4103.0,14576.0,39326.0,17470.0,26378.0,45839.0,26780.0,1369.0,5864.0,28920.0,204611.0,121690.0,4762.0,178232.0,-3355.0
1996,3,28600.0,11096.0,19180.0,25828.0,15788.0,14767.0,41810.0,142658.0,4148.0,15560.0,41418.0,20928.0,27349.0,49011.0,28772.0,1324.0,5333.0,31498.0,221513.0,134057.0,7829.0,194164.0,994.0
1996,4,36221.0,8906.0,18764.0,27031.0,16918.0,15104.0,52324.0,156087.0,5235.0,15085.0,43187.0,22949.0,28778.0,54631.0,32835.0,1457.0,6510.0,34128.0,239316.0,147001.0,7430.0,210538.0,-4417.0
1997,1,29408.0,12338.0,16766.0,27561.0,14821.0,14443.0,42139.0,147808.0,4707.0,13162.0,42697.0,19333.0,26992.0,49072.0,28430.0,1493.0,5149.0,32316.0,219117.0,130715.0,4693.0,192125.0,-7355.0
1997,2,31184.0,11625.0,15929.0,29218.0,16218.0,15850.0,45485.0,154447.0,4949.0,17402.0,46189.0,22570.0,28600.0,55636.0,33389.0,1447.0,5998.0,32266.0,232890.0,137028.0,6215.0,204289.0,-8063.0
1997,3,31008.0,10871.0,20023.0,30131.0,17387.0,17160.0,45830.0,157598.0,5341.0,18529.0,47287.0,25171.0,29556.0,57089.0,33163.0,1425.0,7054.0,34273.0,246178.0,148662.0,8785.0,216623.0,2106.0
1997,4,38120.0,9771.0,21135.0,31602.0,17353.0,17235.0,52540.0,161954.0,5462.0,17398.0,45894.0,24255.0,30198.0,53320.0,28967.0,1656.0,7682.0,35384.0,253904.0,160615.0,9339.0,223706.0,374.0
1998,1,31326.0,11869.0,18101.0,30036.0,14963.0,16730.0,46994.0,157103.0,6249.0,16099.0,45595.0,21714.0,29259.0,52455.0,28092.0,1383.0,8065.0,34227.0,235701.0,142118.0,5399.0,206441.0,-8376.0
1998,2,33247.0,14202.0,17206.0,31042.0,16934.0,17952.0,49307.0,159194.0,6137.0,18805.0,48379.0,22896.0,30797.0,58383.0,33171.0,1122.0,8272.0,35131.0,251936.0,148554.0,6724.0,221139.0,-853.0
1998,3,33032.0,13143.0,21561.0,31413.0,17432.0,17973.0,49839.0,163447.0,6203.0,18786.0,47636.0,25366.0,30027.0,58112.0,32582.0,1354.0,8383.0,36224.0,258043.0,156762.0,8718.0,228016.0,3701.0
1998,4,41001.0,8399.0,22707.0,32438.0,16607.0,17052.0,55037.0,163187.0,6082.0,16781.0,44249.0,24326.0,30324.0,52759.0,27992.0,1632.0,9210.0,35006.0,256671.0,165189.0,8219.0,226347.0,1743.0
1999,1,33877.0,14190.0,17731.0,29215.0,15395.0,15919.0,48863.0,164893.0,6531.0,22153.0,44121.0,25847.0,33988.0,51004.0,26995.0,1560.0,9602.0,39522.0,250668.0,151486.0,6145.0,216680.0,-3515.0
1999,2,35928.0,13487.0,16831.0,30344.0,17624.0,16952.0,51749.0,170252.0,6673.0,24728.0,47152.0,29001.0,35661.0,62478.0,37291.0,1562.0,9022.0,41053.0,268709.0,157083.0,6282.0,233048.0,3829.0
1999,3,35880.0,11736.0,21311.0,31427.0,18217.0,16958.0,53944.0,178811.0,7361.0,27646.0,46383.0,32971.0,36910.0,61145.0,34583.0,2243.0,7601.0,42058.0,274126.0,164335.0,7840.0,237216.0,312.0
1999,4,44417.0,11121.0,22638.0,32723.0,20359.0,17072.0,60623.0,189576.0,7229.0,29511.0,47432.0,36368.0,39234.0,61915.0,35012.0,2601.0,7583.0,44951.0,294208.0,181938.0,9267.0,254974.0,3434.0
2000,1,36254.0,16347.0,16057.0,30302.0,18519.0,16949.0,49216.0,176025.0,7446.0,26402.0,56887.0,31107.0,38150.0,62386.0,35034.0,2956.0,11633.0,39855.0,276927.0,160044.0,7423.0,238777.0,-497.0
2000,2,38673.0,15218.0,15132.0,30842.0,20039.0,18484.0,52695.0,189996.0,7537.0,30239.0,53911.0,34983.0,40225.0,70463.0,41600.0,2843.0,10670.0,42838.0,292789.0,166882.0,8688.0,252563.0,931.0
2000,3,38448.0,15178.0,19309.0,31578.0,22196.0,18470.0,54588.0,200012.0,8376.0,33768.0,53879.0,40155.0,43715.0,71089.0,40582.0,3661.0,10383.0,45941.0,308896.0,178914.0,11059.0,265181.0,6805.0
2000,4,48462.0,10220.0,19991.0,33434.0,22877.0,17877.0,68544.0,208493.0,9007.0,31756.0,54811.0,43062.0,45675.0,71932.0,40281.0,4767.0,11457.0,45729.0,320481.0,192653.0,10704.0,274805.0,-61.0
2001,1,41234.0,17485.0,18490.0,30318.0,21963.0,17865.0,55190.0,203369.0,10740.0,33576.0,61689.0,42902.0,47018.0,74965.0,42555.0,3806.0,10427.0,43215.0,312470.0,173002.0,7354.0,265452.0,1547.0
2001,2,44027.0,17314.0,16886.0,31697.0,23239.0,17687.0,58687.0,210284.0,9677.0,40837.0,62067.0,48577.0,49521.0,73981.0,42455.0,4163.0,11485.0,45379.0,323724.0,182907.0,10194.0,274203.0,426.0
2001,3,43967.0,14694.0,21650.0,32113.0,23335.0,17592.0,59988.0,211486.0,8832.0,45701.0,60427.0,51523.0,49308.0,75782.0,43904.0,5453.0,16091.0,44201.0,332524.0,192740.0,11383.0,283216.0,6445.0
2001,4,54968.0,13676.0,22885.0,34005.0,24864.0,17038.0,80645.0,218362.0,8048.0,42667.0,58153.0,48633.0,49487.0,73153.0,43312.0,4755.0,13366.0,48877.0,347038.0,210722.0,11758.0,297551.0,-4158.0
